bookmaker,bucket,n,mean_pred_over_pct,actual_over_pct,abs_error_pp
pinnacle,"[0.35, 0.4)",111,38.97859121241713,47.74774774774775,8.76915653533062
pinnacle,"[0.4, 0.45)",828,42.830023624071636,44.68599033816425,1.8559667140926106
pinnacle,"[0.45, 0.5)",878,47.43104729164415,46.924829157175395,0.50621813446875
pinnacle,"[0.5, 0.55)",875,52.345449284876445,51.771428571428565,0.5740207134478759
pinnacle,"[0.55, 0.6)",562,57.01723403612826,55.693950177935946,1.3232838581923145
pinnacle,"[0.6, 0.65)",49,61.134787425919924,61.224489795918366,0.08970236999844561
pointsbetau,"[0.4, 0.45)",649,43.2471666315775,43.451463790446844,0.2042971588693432
pointsbetau,"[0.45, 0.5)",549,47.25608654694093,48.08743169398907,0.8313451470481403
pointsbetau,"[0.5, 0.55)",718,51.91628706277238,51.81058495821726,0.10570210455511653
pointsbetau,"[0.55, 0.6)",515,56.56741318200154,58.44660194174758,1.8791887597460422
rebet,"[0.4, 0.45)",476,43.1836365552415,44.747899159663866,1.5642626044223673
rebet,"[0.45, 0.5)",670,47.20097522971484,46.11940298507463,1.0815722446402165
rebet,"[0.5, 0.55)",694,52.41008879416699,51.29682997118156,1.11325882298543
rebet,"[0.55, 0.6)",346,56.767142604013266,60.40462427745664,3.637481673443377
sportsbet,"[0.4, 0.45)",586,43.11520404188377,43.68600682593857,0.5708027840547969
sportsbet,"[0.45, 0.5)",717,47.34933440326874,47.559274755927476,0.20994035265873845
sportsbet,"[0.5, 0.55)",706,52.43203811602736,52.69121813031161,0.25918001428425486
sportsbet,"[0.55, 0.6)",417,56.82227924006499,58.033573141486805,1.2112939014218171
tabtouch,"[0.25, 0.3)",244,27.574593439854382,29.918032786885245,2.3434393470308623
tabtouch,"[0.3, 0.35)",219,32.083944513316496,31.963470319634702,0.12047419368179102
tabtouch,"[0.35, 0.4)",196,37.45383633423207,35.714285714285715,1.7395506199463562
tabtouch,"[0.4, 0.45)",183,42.421586447747465,46.44808743169399,4.026500983946524
tabtouch,"[0.45, 0.5)",216,47.1035112220705,46.75925925925926,0.3442519628112428
tabtouch,"[0.5, 0.55)",188,52.43218980556453,51.06382978723404,1.3683600183304945
tabtouch,"[0.55, 0.6)",184,57.506206662894336,55.434782608695656,2.0714240541986784
tabtouch,"[0.6, 0.65)",214,62.67244106756087,69.62616822429906,6.953727156738198
tabtouch,"[0.65, 0.7)",206,67.59557873257846,66.01941747572816,1.5761612568502947
tabtouch,"[0.7, 0.75)",210,72.31898113945722,76.66666666666667,4.347685527209444
tabtouch,"[0.75, 0.8)",233,77.3362833944919,80.68669527896995,3.350411884478055
unibet,"[0.25, 0.3)",250,27.57068439127965,32.4,4.829315608720353
unibet,"[0.3, 0.35)",196,32.082272032626236,31.122448979591837,0.9598230530343976
unibet,"[0.35, 0.4)",197,37.41298011330563,37.055837563451774,0.3571425498538505
unibet,"[0.4, 0.45)",180,42.480605867629556,46.666666666666664,4.1860607990371115
unibet,"[0.45, 0.5)",206,47.09928485689643,46.601941747572816,0.49734310932361137
unibet,"[0.5, 0.55)",179,52.44088181859262,50.83798882681564,1.602892991776983
unibet,"[0.55, 0.6)",175,57.411624539344075,52.57142857142857,4.8401959679155055
unibet,"[0.6, 0.65)",212,62.62405712812017,70.28301886792453,7.65896173980436
unibet,"[0.65, 0.7)",201,67.61219954718966,66.16915422885572,1.4430453183339464
unibet,"[0.7, 0.75)",202,72.34675357894376,76.23762376237624,3.890870183432471
unibet,"[0.75, 0.8)",222,77.36345529376118,79.27927927927928,1.9158239855181058
williamhill_us,"[0.35, 0.4)",23,39.20252390766572,52.17391304347826,12.971389135812538
williamhill_us,"[0.4, 0.45)",179,43.217843369193794,38.547486033519554,4.670357335674241
williamhill_us,"[0.45, 0.5)",188,47.44252136443299,48.93617021276596,1.493648848332968
williamhill_us,"[0.5, 0.55)",197,52.207370664109845,43.65482233502538,8.552548329084464
williamhill_us,"[0.55, 0.6)",120,56.97914916898995,58.333333333333336,1.354184164343386
