model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,mae,rmse,brier,log_loss,ece,edge_spearman,section,edge_min,edge_gap_min
edge>=5_eg>=5,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,359,217,142,0,0.6044568245125348,-72.73537604456824,0.5509976378632977,0.1073754492015458,38.54778626335494,0.02328899850761757,0.012115785178405492,0.10735100093147124,0.19968811996145852,2.2253559770433395,-15.532160626958607,5.0,0.0128,0,,,,,,,,,,robustness,5.0,5.0
edge>=5_eg>=10,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,248,149,99,0,0.6008064516129032,-72.21774193548387,0.5512437677556206,0.09522206874861862,23.61507304965742,0.06566149720873442,-0.015585231306110966,0.0946304604537558,0.20576182574271368,1.6508083206108304,-10.143481954802706,5.0,0.0514,0,,,,,,,,,,robustness,5.0,10.0
edge>=5_eg>=12,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,204,121,83,0,0.5931372549019608,-75.57843137254902,0.5519564417552625,0.0815038020727937,16.626775622849916,0.13284022209549023,-0.044610810151135966,0.08264724054939598,0.20643296045972429,1.276679898238283,-9.758109866924052,4.0,0.104,0,,,,,,,,,,robustness,5.0,12.0
edge>=5_eg>=15,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,152,94,58,0,0.618421052631579,-71.9342105263158,0.5484223404425056,0.13066733707004002,19.861435234646084,0.04856758302704665,-0.008204769303655357,0.13175767551640555,0.26988256308306674,1.7808853015398451,-6.526753005777817,4.0,0.0412,0,,,,,,,,,,robustness,5.0,15.0
edge>=7_eg>=0,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,613,348,265,0,0.567699836867863,-10.615008156606851,0.5164542367390474,0.10572023795348566,64.80650586548671,0.006163232122542095,0.02754910160997166,0.10559640645598475,0.1824975839194863,2.6587030783330605,-22.86746565688527,7.0,0.0046,0,,,,,,,,,,robustness,7.0,0.0
edge>=7_eg>=5,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,354,213,141,0,0.6016949152542372,-71.26553672316385,0.5497644708788804,0.10541712421939427,37.31766197366557,0.02765482840859013,0.010848266243949724,0.10523257635070077,0.20140294943192832,2.1616835985491885,-15.532160626958607,5.0,0.0152,0,,,,,,,,,,robustness,7.0,5.0
edge>=7_eg>=10,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,248,149,99,0,0.6008064516129032,-72.21774193548387,0.5512437677556206,0.09522206874861862,23.61507304965742,0.06566149720873442,-0.015585231306110966,0.0946304604537558,0.20576182574271368,1.6508083206108304,-10.143481954802706,5.0,0.0514,0,,,,,,,,,,robustness,7.0,10.0
edge>=7_eg>=12,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,204,121,83,0,0.5931372549019608,-75.57843137254902,0.5519564417552625,0.0815038020727937,16.626775622849916,0.13284022209549023,-0.044610810151135966,0.08264724054939598,0.20643296045972429,1.276679898238283,-9.758109866924052,4.0,0.104,0,,,,,,,,,,robustness,7.0,12.0
edge>=7_eg>=15,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,152,94,58,0,0.618421052631579,-71.9342105263158,0.5484223404425056,0.13066733707004002,19.861435234646084,0.04856758302704665,-0.008204769303655357,0.13175767551640555,0.26988256308306674,1.7808853015398451,-6.526753005777817,4.0,0.0412,0,,,,,,,,,,robustness,7.0,15.0
edge>=10_eg>=0,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,493,278,215,0,0.563894523326572,-5.243407707910751,0.5131092351439022,0.10262189113601414,50.59259233005497,0.013415895132868878,0.016606754286411007,0.10223225712368625,0.19136958772339047,2.3020110824289293,-22.86746565688527,7.0,0.0124,0,,,,,,,,,,robustness,10.0,0.0
edge>=10_eg>=5,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,323,197,126,0,0.6099071207430341,-62.71517027863777,0.543579242706843,0.131383319014721,42.436812041754884,0.009450759249733149,0.02957520986434911,0.13184388016995738,0.2337875129593005,2.5580343199077538,-15.532160626958607,5.0,0.0034,0,,,,,,,,,,robustness,10.0,5.0
edge>=10_eg>=10,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,246,148,98,0,0.6016260162601627,-71.32113821138212,0.5504752778586878,0.09792177748042168,24.088757260183733,0.06027220930760563,-0.012874173155103797,0.0971404681325917,0.21050775155783472,1.6896531369408125,-10.143481954802706,5.0,0.0506,0,,,,,,,,,,robustness,10.0,10.0
edge>=10_eg>=12,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,204,121,83,0,0.5931372549019608,-75.57843137254902,0.5519564417552625,0.0815038020727937,16.626775622849916,0.13284022209549023,-0.044610810151135966,0.08264724054939598,0.20643296045972429,1.276679898238283,-9.758109866924052,4.0,0.104,0,,,,,,,,,,robustness,10.0,12.0
edge>=10_eg>=15,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,152,94,58,0,0.618421052631579,-71.9342105263158,0.5484223404425056,0.13066733707004002,19.861435234646084,0.04856758302704665,-0.008204769303655357,0.13175767551640555,0.26988256308306674,1.7808853015398451,-6.526753005777817,4.0,0.0412,0,,,,,,,,,,robustness,10.0,15.0
edge>=12_eg>=0,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,423,231,192,0,0.5460992907801419,-0.13002364066193853,0.5095080144713756,0.07808218846932326,33.02876572252374,0.0724955491785631,-0.019017724364786694,0.07756175072461644,0.17197653847377403,1.6026836952337795,-22.86746565688527,7.0,0.056,0,,,,,,,,,,robustness,12.0,0.0
edge>=12_eg>=5,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,289,171,118,0,0.5916955017301038,-52.01038062283737,0.5365089037186945,0.11481777892331999,33.182338108839474,0.033850628638070264,0.007619249462417217,0.11446953159492149,0.22298290261955175,2.0682392959997427,-15.532160626958607,5.0,0.0176,0,,,,,,,,,,robustness,12.0,5.0
edge>=12_eg>=10,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,234,140,94,0,0.5982905982905983,-66.08974358974359,0.5462294643838762,0.10024762518550424,23.457944293407994,0.062087089366124566,-0.020932743953201008,0.09957011435481475,0.22188453919546594,1.673107854247806,-10.143481954802706,5.0,0.0464,0,,,,,,,,,,robustness,12.0,10.0
edge>=12_eg>=12,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,198,117,81,0,0.5909090909090909,-72.22222222222223,0.5489646465281084,0.08323714181689314,16.48095407974484,0.13233913625560917,-0.041801248665480004,0.08436408437199289,0.21145016857753737,1.277435700807628,-9.367865964485027,4.0,0.1,0,,,,,,,,,,robustness,12.0,12.0
edge>=12_eg>=15,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,152,94,58,0,0.618421052631579,-71.9342105263158,0.5484223404425056,0.13066733707004002,19.861435234646084,0.04856758302704665,-0.008204769303655357,0.13175767551640555,0.26988256308306674,1.7808853015398451,-6.526753005777817,4.0,0.0412,0,,,,,,,,,,robustness,12.0,15.0
edge>=15_eg>=0,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,328,188,140,0,0.573170731707317,7.817073170731708,0.5047232085403004,0.13551780108540182,44.4498387560118,0.0075902058642663165,0.029080373957006612,0.1337787222989203,0.24134518505377195,2.457084880008483,-9.198623629763318,6.0,0.0066,0,,,,,,,,,,robustness,15.0,0.0
