model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,group_type,group
<=-150,grouped_current_model,2026-03-26,2026-06-29,106,66,40,0,0.6226415094339622,-162.88679245283018,0.6187939427946556,0.007402526543880372,0.7846678136513194,0.510517271772001,-0.14520483708852797,0.0083711051427732,0.15904829310810178,0.09662083097171931,-5.198563615317421,4,0.4532,22,0.05649800412196921,1.1452817777430346,0.5454545454545454,odds_bucket,<=-150
-149/-120,grouped_current_model,2026-03-26,2026-06-29,164,97,67,0,0.5914634146341463,-134.46951219512195,0.5728765560870408,0.031412139793059554,5.151590926061767,0.34499735398300363,-0.09711964851139882,0.030333210842983488,0.16547832869962703,0.4673536165207101,-13.110959041204925,4,0.3186,66,-1.4381164459075995,0.0,0.48484848484848486,odds_bucket,-149/-120
-119/-101,grouped_current_model,2026-03-27,2026-06-29,90,56,34,0,0.6222222222222222,-109.23333333333333,0.5218359487933669,0.1908533180267323,17.176798622405908,0.03527798905878645,-0.0031801435888162903,0.19142628473650225,0.3817086069069892,1.9394304737370984,-7.2967128342612,4,0.028,42,2.9928934374489296,1.3781355758872404,0.6428571428571429,odds_bucket,-119/-101
+100/+120,grouped_current_model,2026-03-26,2026-06-29,186,100,86,0,0.5376344086021505,111.58602150537635,0.473126380242631,0.13198924731182793,24.549999999999997,0.04574144485783633,-0.013280913978494641,0.13306451612903225,0.27978494623655914,1.7083194210608525,-14.22,9,0.045,99,1.3105277259004215,0.0,0.494949494949495,odds_bucket,+100/+120
+121/+150,grouped_current_model,2026-03-26,2026-06-28,133,64,69,0,0.48120300751879697,130.18796992481202,0.4347337426881224,0.11195488721804511,14.89,0.1601915191541854,-0.07992857142857143,0.11142857142857143,0.30941353383458625,1.113150315356697,-6.66,5,0.129,78,2.708386688462376,1.3574938574938522,0.6538461538461539,odds_bucket,+121/+150
>=+151,grouped_current_model,2026-04-18,2026-05-15,4,2,2,0,0.5,163.25,0.38092320261437906,0.2749999999999999,1.0999999999999996,0.4915958820434343,-1.0,0.2749999999999999,1.5499999999999998,0.3735795859462283,-1.0,1,0.3072,2,17.969975988353394,17.969975988353394,1.0,odds_bucket,>=+151
7-10,grouped_current_model,2026-03-26,2026-06-29,130,74,56,0,0.5692307692307692,-35.07692307692308,0.5315548330661657,0.09190094932288422,11.947123411974948,0.2200499167981036,-0.07760559320398908,0.09218854493786355,0.2583566364235164,1.0802878149139454,-8.70383855609736,4,0.148,45,-0.29838123194942856,0.4464285714285587,0.5333333333333333,edge_bucket,7-10
10-15,grouped_current_model,2026-03-26,2026-06-29,182,102,80,0,0.5604395604395604,-33.934065934065934,0.5306093899759297,0.061522899879828286,11.197167778128748,0.23231456749995888,-0.08055464810640244,0.06148828105264079,0.20041632662223308,0.8612979771344684,-20.480248587082368,7,0.2046,65,0.8734773836947861,0.8230452674897304,0.5692307692307692,edge_bucket,10-15
15-20,grouped_current_model,2026-03-26,2026-06-29,119,64,55,0,0.5378151260504201,-30.80672268907563,0.524770026465318,0.016850477269127827,2.0052067950262114,0.42403535870171183,-0.15507761433689518,0.017203834780422665,0.1905769133442315,0.19046269336642352,-10.64960810310552,6,0.4156,50,0.24023486376356867,0.8733790999237212,0.62,edge_bucket,15-20
20-30,grouped_current_model,2026-03-26,2026-06-29,156,88,68,0,0.5641025641025641,6.961538461538462,0.5051470090315866,0.11163940566759041,17.415747284144103,0.08170776184272834,-0.040987393544327955,0.11228277187534753,0.2677719791882487,1.400600817083711,-6.575977584059771,6,0.0766,72,1.7240277631786727,1.3484848484848433,0.5833333333333334,edge_bucket,20-30
