pitcher,date,line,side,dk_entry_odds,dk_close_odds,dk_entry_prob_cents,dk_close_prob_cents,dk_move_pp,abs_dk_move_pp,dk_clv_pp,sharp_clv_pp,divergence_pp,result
Casey Mize,2026-06-17,4.5,OVER,120.0,117.0,45.45454545454545,43.506368703370434,-1.9481767511750192,1.9481767511750192,-1.9481767511750192,-2.1215621498204555,0.17338539864543634,
Michael King,2026-06-16,4.5,OVER,115.0,104.0,46.51162790697674,46.281519310564946,-0.23010859641179593,0.23010859641179593,-0.23010859641179593,-0.22445043996866332,-0.0056581564431326115,L
Reid Detmers,2026-06-16,5.5,OVER,130.0,119.0,43.47826086956522,43.02208920706718,-0.4561716624980363,0.4561716624980363,-0.4561716624980363,-0.4183133488762607,-0.03785831362177561,L
Robert Gasser,2026-06-16,4.5,UNDER,125.0,128.0,44.44444444444444,41.38449962377727,-3.0599448206671696,3.0599448206671696,-3.0599448206671696,-3.001841708888513,-0.05810311177865657,L
Zac Gallen,2026-06-09,4.5,OVER,116.0,125.0,46.2962962962963,41.93548387096774,-4.360812425328561,4.360812425328561,-4.360812425328561,-4.20686826441716,-0.15394416091140073,L
Merrill Kelly,2026-06-11,4.5,OVER,120.0,134.0,45.45454545454545,40.37905653067914,-5.075488923866317,5.075488923866317,-5.075488923866317,-4.813786035975305,-0.2617028878910119,L
Jacob Misiorowski,2026-06-12,8.5,UNDER,-108.0,-110.0,51.92307692307693,49.37655860349127,-2.546518319585658,2.546518319585658,-2.546518319585658,-1.7208442746381536,-0.8256740449475046,L
Kyle Harrison,2026-06-14,6.5,UNDER,120.0,118.0,45.45454545454545,43.327556325823224,-2.1269891287222293,2.1269891287222293,-2.1269891287222293,-0.3002371364501428,-1.8267519922720865,W
Zack Littell,2026-06-12,3.5,OVER,106.0,128.0,48.54368932038835,41.38449962377727,-7.1591896966110795,7.1591896966110795,-7.1591896966110795,-5.3086944068583435,-1.850495289752736,L
Brady Singer,2026-06-10,4.5,OVER,116.0,116.0,46.2962962962963,43.68658399098083,-2.609712305315469,2.609712305315469,-2.609712305315469,-0.755499332349423,-1.854212972966046,W
Mitch Keller,2026-06-16,4.5,OVER,112.0,131.0,47.16981132075472,40.8486769906109,-6.3211343301438205,6.3211343301438205,-6.3211343301438205,-4.283584974928203,-2.037549355215617,W
Ryne Nelson,2026-06-10,4.5,OVER,116.0,118.0,46.2962962962963,43.26243579578751,-3.033860500508787,3.033860500508787,-3.033860500508787,-0.6812566932807442,-2.352603807228043,L
Adrian Houser,2026-06-16,3.5,OVER,108.0,120.0,48.07692307692308,42.91044776119403,-5.166475315729052,5.166475315729052,-5.166475315729052,-2.6567868165143054,-2.5096884992147466,
Shane McClanahan,2026-06-12,5.5,UNDER,132.0,106.0,43.103448275862064,45.722256664600124,2.61880838873806,2.61880838873806,2.61880838873806,5.274557482217489,-2.655749093479429,L
Luinder Avila,2026-06-12,3.5,OVER,110.0,-117.0,47.61904761904761,50.83149711054754,3.2124494914999246,3.2124494914999246,3.2124494914999246,6.294403404230003,-3.0819539127300786,L
Dylan Cease,2026-06-09,6.5,UNDER,111.0,115.0,47.39336492890995,43.86821774265163,-3.525147186258323,3.525147186258323,-3.525147186258323,-0.2091332314039107,-3.3160139548544123,L
J.T. Ginn,2026-06-09,4.5,OVER,120.0,113.0,45.45454545454545,44.30563625798953,-1.1489091965559197,1.1489091965559197,-1.1489091965559197,2.7194522730961594,-3.868361469652079,W
Freddy Peralta,2026-06-14,5.5,OVER,110.0,119.0,47.61904761904761,43.08576118178087,-4.533286437266746,4.533286437266746,-4.533286437266746,0.8709258044846351,-5.404212241751381,L
