date,pitcher,side,proj,gap,edge,odds,actual,won,pnl,clv
2025-08-13,Hunter Greene,under 6.5,5.47,1.03,28.3,105,6,True,105.0,7.38
2025-08-13,Trevor Rogers,under 4.5,4.53,0.03,18.8,125,6,False,-100.0,
2025-08-12,Paul Skenes,under 6.5,4.47,2.03,54.5,115,4,True,115.0,7.5
2025-08-12,Freddy Peralta,under 7.5,5.09,2.41,21.8,-150,7,True,67.0,1.31
2025-08-12,Jack Flaherty,under 6.5,5.13,1.37,25.8,-110,6,True,91.0,4.13
2025-08-12,Spencer Strider,under 6.5,5.23,1.27,23.9,-110,2,True,91.0,0.0
2025-08-12,Brady Singer,under 4.5,4.18,0.32,30.8,130,6,False,-100.0,
2025-08-11,Zebby Matthews,under 5.5,4.18,1.32,18.5,-130,9,False,-100.0,3.21
2025-08-11,Will Warren,under 5.5,4.09,1.41,22.2,-125,7,False,-100.0,-1.82
2025-08-11,Taijuan Walker,over 3.5,4.0,0.5,19.5,125,2,False,-100.0,4.65
2025-08-10,Sonny Gray,under 5.5,4.24,1.26,26.5,-110,7,False,-100.0,4.13
2025-08-10,Brandon Pfaadt,under 5.5,4.98,0.52,16.8,100,2,True,100.0,
2025-08-10,Dylan Cease,under 7.5,5.64,1.86,23.8,-125,7,True,80.0,-3.72
2025-08-10,Zack Wheeler,under 7.5,5.99,1.51,20.7,-120,7,True,83.0,1.85
2025-08-10,Tyler Glasnow,under 5.5,5.02,0.48,16.0,100,8,False,-100.0,-4.76
2025-08-09,Charlie Morton,under 5.5,4.85,0.65,22.6,105,10,False,-100.0,0.0
2025-08-09,Hurston Waldrep,under 4.5,3.11,1.39,19.7,-140,6,False,-100.0,6.74
2025-08-09,Luis Gil,under 4.5,4.56,0.06,15.4,120,7,False,-100.0,0.0
2025-08-09,Jacob deGrom,under 6.5,5.07,1.43,26.8,-110,8,False,-100.0,0.0
2025-08-09,Sandy Alcantara,under 4.5,3.49,1.01,27.6,-105,4,True,95.0,6.49
2025-08-08,J.T. Ginn,over 4.5,5.45,0.95,19.9,110,9,True,110.0,-2.33
2025-08-08,Bryce Elder,over 4.5,5.4,0.9,21.6,115,3,False,-100.0,7.5
2025-08-08,Chase Burns,under 7.5,6.55,0.95,22.0,100,10,False,-100.0,-6.98
2025-08-08,Kyle Hendricks,over 3.5,4.49,0.99,35.1,130,6,True,130.0,0.0
2025-08-07,Paul Skenes,under 7.5,5.2,2.3,41.1,-105,8,False,-100.0,6.49
2025-08-07,Jacob Lopez,under 5.5,4.92,0.58,23.9,110,10,False,-100.0,-2.33
2025-08-06,Kevin Gausman,over 5.5,6.07,0.57,15.9,120,8,True,120.0,7.32
2025-08-06,Spencer Strider,under 6.5,5.71,0.79,32.7,120,6,True,120.0,2.33
2025-08-06,Janson Junk,under 3.5,3.43,0.07,19.4,120,2,True,120.0,2.33
2025-08-06,Robbie Ray,under 6.5,5.97,0.53,15.6,100,8,False,-100.0,0.0
2025-08-05,Mike Burrows,under 4.5,4.3,0.2,21.9,120,3,True,120.0,
2025-08-05,Freddy Peralta,under 5.5,4.87,0.63,22.0,105,7,False,-100.0,2.5
2025-08-05,MacKenzie Gore,under 6.5,5.77,0.73,22.5,105,0,True,105.0,0.0
2025-08-05,Zebby Matthews,under 4.5,4.32,0.18,24.3,125,6,False,-100.0,
2025-08-05,Garrett Crochet,under 7.5,5.41,2.09,21.0,-140,8,False,-100.0,0.0
2025-08-04,Sandy Alcantara,under 4.5,3.42,1.08,19.1,-125,5,False,-100.0,0.0
2025-08-03,Dylan Cease,under 6.5,5.74,0.76,20.1,100,9,False,-100.0,
2025-08-03,Brad Lord,under 3.5,2.42,1.08,16.0,-145,6,False,-100.0,-2.93
2025-08-03,Carson Whisenhunt,under 3.5,2.89,0.61,24.0,100,4,False,-100.0,2.44
2025-08-03,Jacob deGrom,under 6.5,6.28,0.22,20.7,120,5,True,120.0,4.76
2025-08-03,Edward Cabrera,under 5.5,5.24,0.26,22.5,120,7,False,-100.0,4.76
