Bet ID,Date,Game Date,Pitcher,Team,Opponent,Home/Away,Sportsbook,Opening Odds,Closing Odds,Executed Odds,Exchange-adjusted Odds,Strikeout Line,Model Projection,Market Projection,Margin,Devig Edge,Model Probability,Market Implied Probability,Bet Side,Odds,Decimal Odds,American Odds,Units Risked,Units Won/Lost,Stake ($),Profit/Loss ($),ROI for Bet,CLV,Result,Running Win %,Running ROI,Running Units,Running Bankroll,Year,Month,Odds Bucket,Model Sample,Kelly Fraction
KPROP-00614,2026-04-18 19:10:38,2026-04-18,Lance McCullers Jr.,117,138,Home,fanduel,,,118.0,118.0,4.5,4.6155606362457915,4.5,-0.11556063624579149,0.11249527108054103,0.5103189316883217,0.4432091346153846,Under,118.0,2.1799999999999997,118.0,1.0,1.1799999999999997,100.0,117.99999999999997,1.1799999999999997,,Win,0.5732899022801303,0.12050054496089949,73.98733460599229,17398.733460599236,2026,2026-04,+100 to +120,2026 Frozen Test,0.09533497549198394
KPROP-00615,2026-04-18 19:15:38,2026-04-18,Nathan Eovaldi,140,136,Away,draftkings,,,114.0,114.0,5.5,5.225371242988249,5.5,0.27462875701175093,0.23366878869258456,0.5764807423797125,0.45257772530499807,Under,114.0,2.1399999999999997,114.0,1.0,1.1399999999999997,100.0,113.99999999999997,1.1399999999999997,,Win,0.5739837398373984,0.12215826765201998,75.12733460599229,17512.733460599236,2026,2026-04,+100 to +120,2026 Frozen Test,0.20497262166016195
KPROP-00616,2026-04-18 19:15:38,2026-04-18,Nathan Eovaldi,140,136,Away,betrivers,,,-190.0,-190.0,6.5,5.225371242988249,6.5,1.274628757011751,0.11198619149375749,0.7285426771855653,0.6112600536193029,Under,-190.0,1.526315789473684,-190.0,1.0,0.5263157894736841,100.0,52.63157894736841,0.5263157894736841,,Win,0.5746753246753247,0.1228143675251071,75.65365039546597,17565.365039546603,2026,2026-04,<= -150,2026 Frozen Test,0.21277376383813928
KPROP-00617,2026-04-18 16:05:38,2026-04-18,Paul Skenes,134,139,Home,betmgm,,,-135.0,-135.0,6.5,5.563787964470715,6.5,0.9362120355292847,0.17671640309065728,0.6759860187967606,0.54911742133538,Under,-135.0,1.7407407407407407,-135.0,1.0,0.7407407407407407,100.0,74.07407407407408,0.7407407407407407,,Win,0.5753646677471637,0.12381586894036746,76.39439113620672,17639.439113620676,2026,2026-04,-149 to -120,2026 Frozen Test,0.23856714417238734
KPROP-00618,2026-04-18 16:10:38,2026-04-18,Tarik Skubal,116,111,Away,betrivers,,,-103.0,-103.0,7.5,6.931393333480867,7.5,0.5686066665191332,0.20013455806721894,0.6089352683789337,0.49764317699740745,Under,-103.0,1.970873786407767,-103.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5744336569579288,0.12199739666052868,75.39439113620672,17539.439113620676,2026,2026-04,-119 to -101,2026 Frozen Test,0.2061385948092355
KPROP-00619,2026-04-18 13:35:38,2026-04-18,Will Warren,147,118,Home,betonlineag,,,128.0,128.0,4.5,4.454961074289693,4.5,0.04503892571030743,0.23273479986836243,0.540673157837001,0.4329403095062638,Under,128.0,2.2800000000000002,128.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5735056542810986,0.12018479989694139,74.39439113620672,17439.439113620676,2026,2026-04,+121 to +150,2026 Frozen Test,0.18182406239715812
KPROP-00620,2026-04-19 19:20:37,2026-04-19,Andrew Painter,143,144,Home,bovada,,,-110.0,-110.0,4.5,4.303616517788342,4.5,0.19638348221165813,0.0876838895267592,0.5697391802283024,0.495787700084246,Under,-110.0,1.9090909090909092,-110.0,1.0,0.9090909090909092,100.0,90.90909090909092,0.9090909090909092,,Win,0.5741935483870968,0.12145722910531875,75.30348204529763,17530.348204529768,2026,2026-04,-119 to -101,2026 Frozen Test,0.09645227847943512
KPROP-00621,2026-04-19 14:10:38,2026-04-19,Bailey Ober,142,113,Home,bovada,,,120.0,120.0,4.5,4.597537478531545,4.5,-0.09753747853154504,0.13013090500115465,0.5136958659096157,0.4260237780713342,Under,120.0,2.2,120.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.573268921095008,0.1196513398475002,74.30348204529763,17430.348204529768,2026,2026-04,+100 to +120,2026 Frozen Test,0.10844242083429553
KPROP-00622,2026-04-19 14:10:38,2026-04-19,Bailey Ober,142,113,Home,betonlineag,,,-159.0,-159.0,5.5,4.597537478531545,5.5,0.902462521468455,0.11774675822435327,0.6861843033114756,0.5885427423070201,Under,-159.0,1.6289308176100628,-159.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.572347266881029,0.11785125730755246,73.30348204529763,17330.348204529768,2026,2026-04,<= -150,2026 Frozen Test,0.18721734557672173
KPROP-00623,2026-04-19 14:10:38,2026-04-19,Brady Singer,113,142,Away,bovada,,,105.0,105.0,4.5,4.515116632290745,4.5,-0.015116632290745002,0.08493534606372977,0.5292367541774292,0.4721030042918455,Under,105.0,2.05,105.0,1.0,1.0499999999999998,100.0,104.99999999999999,1.0499999999999998,,Win,0.5730337078651685,0.11934748321877628,74.35348204529762,17435.348204529768,2026,2026-04,+100 to +120,2026 Frozen Test,0.08089080577498074
KPROP-00624,2026-04-19 13:35:37,2026-04-19,Cole Ragans,118,147,Away,betrivers,,,-117.0,-117.0,6.5,6.119342249948927,6.5,0.38065775005107305,0.08897121502002679,0.5871411620154061,0.5250082083834957,Under,-117.0,1.8547008547008548,-117.0,1.0,0.8547008547008548,100.0,85.47008547008548,0.8547008547008548,,Win,0.5737179487179487,0.12052593413461295,75.20818289999848,17520.818289999854,2026,2026-04,-119 to -101,2026 Frozen Test,0.10409632157343135
KPROP-00625,2026-04-19 16:30:44,2026-04-19,Garrett Crochet,111,116,Home,betrivers,,,125.0,125.0,6.5,6.271398392195959,6.5,0.22860160780404115,0.2662932327295364,0.5627969923242384,0.41540256709451573,Under,125.0,2.25,125.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5728,0.11873309263999757,74.20818289999848,17420.818289999854,2026,2026-04,+121 to +150,2026 Frozen Test,0.21303458618362914
KPROP-00626,2026-04-19 16:30:44,2026-04-19,Garrett Crochet,111,116,Home,draftkings,,,-133.0,-133.0,7.5,6.271398392195959,7.5,1.2286016078040412,0.23655821921896414,0.7058465371507392,0.556697108066971,Under,-133.0,1.7518796992481203,-133.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5718849840255591,0.11694597907347999,73.20818289999848,17320.818289999854,2026,2026-04,-149 to -120,2026 Frozen Test,0.3146224315612223
KPROP-00627,2026-04-19 16:05:38,2026-04-19,Jeffrey Springs,133,145,Home,betonlineag,,,-145.0,-145.0,5.5,4.826795416734394,5.5,0.6732045832656057,0.09206047689794072,0.6463215067355159,0.5622263914946841,Under,-145.0,1.6896551724137931,-145.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5709728867623605,0.1151645660287057,72.20818289999848,17220.818289999854,2026,2026-04,-149 to -120,2026 Frozen Test,0.13348769150201403
KPROP-00628,2026-04-19 16:10:38,2026-04-19,MacKenzie Gore,140,136,Away,bovada,,,-110.0,-110.0,6.5,5.770867525699857,6.5,0.729132474300143,0.22764493813552633,0.6430521104519423,0.5067750677506776,Under,-110.0,1.9090909090909092,-110.0,1.0,0.9090909090909092,100.0,90.90909090909092,0.9090909090909092,,Win,0.571656050955414,0.11642877995077927,73.11727380908938,17311.727380908946,2026,2026-04,-119 to -101,2026 Frozen Test,0.25040943194907894
KPROP-00629,2026-04-19 13:35:37,2026-04-19,Robbie Ray,137,120,Away,fanatics,,,120.0,120.0,5.5,5.328124362687071,5.5,0.17187563731292865,0.22888704489661493,0.5585850204075522,0.43509272467902993,Under,120.0,2.2,120.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5707472178060413,0.11465385343257453,72.11727380908938,17211.727380908946,2026,2026-04,+100 to +120,2026 Frozen Test,0.19073920408051243
