feature,perm_delta_24,rank_24,perm_delta_25,rank_25
opp_batting_pa_avg_prior,0.0001221189603056283,108,0.00023989397518531241,66
p_innings_pitched_roll10,0.00012116859973057003,109,-0.00015689190306584778,373
sc_csw_rate_roll5,0.00011691975644287922,110,4.8411120877456246e-05,169
sc_statcast_pitches_roll3,0.00011512727755189634,111,3.847088971704604e-05,183
opp_lineup_same_hand_batters,0.00011154591163957673,112,-4.604097709610677e-05,306
p_high_pitch_rate_90_roll3,0.00011115013849156696,113,4.204749330649627e-06,219
sc_max_release_speed_roll5,0.00011072948784116577,114,0.001059574617556147,19
sc_breaking_pct_avg_prior,0.00010930172722325437,115,8.697011248948172e-07,224
p_low_pitch_rate_under80_roll5,0.0001055066424352491,116,-3.486945437420896e-05,293
p_innings_pitched_career_avg_prior,0.0001017107767198322,117,-3.2466366842154314e-05,289
p_innings_pitched_std_roll20,9.935795219311317e-05,118,-1.197995688650977e-07,247
p_strikes_std_roll10,9.831673692266563e-05,119,0.00017597623962617437,79
p_bb9_roll20,9.644972841120758e-05,120,-7.129337524411917e-05,324
p_games_prior,9.583185083192892e-05,121,0.00010956441252532034,115
p_k9_roll20,9.305012758202836e-05,122,0.0004241648850702662,43
p_pitches_range_roll10,9.128416735071365e-05,123,0.00014862430962485628,95
opp_lineup_switch_batters,8.608999558903374e-05,124,0.0002459859950760812,65
p_pitches_range_roll20,8.313450267409817e-05,125,-2.0547388266178856e-06,253
opp_pitcher_hits_allowed_roll3,8.269316410967065e-05,126,0.000471382639112683,39
p_bb9_roll3,8.239145178321473e-05,127,-3.825733297111444e-05,297
days_rest,8.068358545365584e-05,128,0.00015889503401829154,87
p_deep_start_rate_6ip_roll20,7.878845404332146e-05,129,9.092663171301751e-05,131
p_walks_roll10,7.833660327913883e-05,130,0.0001144252250965927,114
pvt_k_rate_vs_opp,7.819100422004066e-05,131,0.0004569149121544269,41
sc_slider_pct_roll10,7.716102275776571e-05,132,4.230895404635504e-05,174
p_batters_faced_roll5,7.715863440453941e-05,133,-6.665984919365097e-05,321
p_bf_per_ip_roll10,7.669775983993876e-05,134,8.350094428408728e-05,137
p_k_minus_bb_roll5,7.523176217667515e-05,135,0.0002988783054571842,54
sc_slider_pct_avg_prior,7.359873580030652e-05,136,3.351742259667389e-05,188
p_starts_last_30d,7.121050674763207e-05,137,0.00043055800215310305,42
p_innings_pitched_std_roll3,6.859358755575417e-05,138,-0.00015108480758165843,372
sc_zone_rate_roll10,6.853986134769396e-05,139,0.00015279262051957066,92
p_short_start_rate_under5ip_roll5,6.57880261233812e-05,140,9.31053940078641e-06,212
p_k_roll3_vs_roll20,6.497522635249276e-05,141,0.00011537673880910316,113
p_bb9_career,6.424690999118354e-05,142,3.1578348395067124e-06,221
opp_pitcher_walks_roll20,6.16160216744932e-05,143,3.323528095771078e-05,189
sc_breaking_pct_roll20,5.958468222537761e-05,144,7.264347176174634e-05,149
p_strikeouts_trimmed_roll20,5.9245002325214456e-05,145,0.0010683155541984402,18
opp_batting_hits_roll20,5.550903335276303e-05,146,8.320483945973844e-05,139
p_strikeouts_season_avg_prior,5.333082153511359e-05,147,-0.0005601964727298681,402
p_short_start_rate_under5ip_career_prior,5.325206583861597e-05,148,-3.9397582758726735e-05,299
p_strike_rate_roll20,5.210503457275806e-05,149,-0.00018994090374062632,380
p_deep_start_rate_6ip_roll3,5.1201362217390135e-05,150,-0.000143293127434152,369
venue_hits_allowed_avg_prior,5.014601339645708e-05,151,-1.2329807758160171e-05,265
p_innings_pitched_std_roll5,4.9793722401325624e-05,152,0.00021580857148724154,70
p_high_pitch_rate_100_roll3,4.9542319096818055e-05,153,-7.952941423639004e-06,260
p_high_pitch_rate_90_roll5,4.714806264385363e-05,154,4.169695146187813e-05,176
opp_lineup_right_batters,4.584956393924866e-05,155,-1.8937473065916422e-06,252
p_innings_pitched_roll20,4.2688836388560246e-05,156,0.00011803387630007211,110
p_hits_per_bf_career_prior,4.260112840461794e-05,157,-8.239003228545094e-05,334
opp_lineup_weighted_bb_rate_vs_starter_hand_prior,4.066928324757413e-05,158,0.0003978929475893844,45
opp_lineup_k_rate_roll14,4.0564336002324454e-05,159,3.967841736620681e-05,181
p_pitches_min_roll20,4.051349569189622e-05,160,-2.7535984064330775e-05,283
sc_fastball_pct_roll5,3.9061320737432406e-05,161,-0.00016296440382463918,375
p_pitches_roll20,3.784323965729808e-05,162,-4.136607454061636e-05,301
p_batters_faced_roll10,3.592293380416667e-05,163,2.2231576514397668e-05,201
p_pitches_min_roll5,3.360481759113742e-05,164,-1.636200813974753e-05,267
p_k_minus_bb_roll10,3.072904965586432e-05,165,0.00012747505677401794,104
p_log_expected_bf,2.618502854276894e-05,166,-3.8125243468067896e-05,296
