n,wr,roi,roi_lo90,roi_hi90,units,avg_odds,avg_edge,avg_ev,clv_mean,clv_pos_pct,sharpe_ann,max_dd,profit_factor,kelly_roi,over_pct,model,min_edge,sides,min_books,score
1666,0.5660264105642256,0.10332631970764503,0.06557238686344374,0.14329083738420068,172.1416486329366,-17.42316926770708,0.11900020782936799,0.2036138369795408,0.00481316257943801,0.5984393757503002,4.2607077398634,-34.2822224827965,1.2380935665739097,0.0047781436373565,0.7797118847539015,p_cat_clf,0.06,both,3,0.08964384134953567
1238,0.5702746365105008,0.11448203797339593,0.07106250348345029,0.1584938817723583,141.72876301106416,-13.421647819063004,0.1360162172344764,0.23843196873538836,0.005250091565423944,0.6074313408723748,4.232094998762908,-15.823900963900947,1.2664074492689175,0.00575883043275656,0.7972536348949919,p_cat_clf,0.08,both,3,0.08919539057989728
1784,0.5364349775784754,0.10527475407821063,0.063370764866625,0.14469894573135111,187.81016127552778,20.883408071748878,0.1067425902241772,0.1930272248696998,0.006486195266307346,0.5818385650224215,4.195819174314439,-23.872867878202314,1.2270981393899973,0.004131638732040868,1.0,p_cat_clf_platt,0.03,over,1,0.08881086916098027
1864,0.5643776824034334,0.09796892108530103,0.062214946302400535,0.13623273571205263,182.6140689030011,-17.508583690987123,0.1121571054764926,0.1898065966199395,0.004502053010389316,0.5890557939914163,4.450483196405512,-28.537852135715553,1.2248941735258634,0.00437663797369653,0.7677038626609443,p_cat_clf,0.05,both,3,0.08853238423886743
1659,0.5394816154309825,0.10735615921196552,0.06395308570925143,0.15063481965809533,178.1038681326508,19.25075346594334,0.11216788324862828,0.20502570252194627,0.006753009962185074,0.5883062085593731,4.067985136347418,-22.494620396331072,1.2331202462469253,0.004418554777433809,1.0,p_cat_clf_platt,0.04,over,1,0.08794032954461649
694,0.5778097982708934,0.14184470366484153,0.08062689710269717,0.20328733989710407,98.44022434340002,-3.2622478386167146,0.148279895142858,0.2657709185893563,0.0067017450271682835,0.6181556195965417,3.7688818818574417,-13.816373626373625,1.3359734619228667,0.006863677286158617,1.0,p_lgb_poisson,0.1,over,3,0.08718417434438942
1813,0.5637065637065637,0.09892874915234014,0.061084650419815124,0.1350642803481354,179.35782221319266,-15.638720353006068,0.1101252086152306,0.18641672314243693,0.004586624264590425,0.5918367346938775,4.317873834571451,-26.329884523826664,1.2267481949597885,0.004401817624240036,0.7495863210148924,p_cat_clf_platt,0.05,both,3,0.08684725266646831
1134,0.4947089947089947,0.13001914821237054,0.07031529103857985,0.1851399001100643,147.44171407282818,81.97883597883597,0.13092316882377825,0.2706727288816443,0.00880029784741659,0.6014109347442681,3.6899330234276815,-21.447516921071372,1.2573153823260526,0.00619074574208191,1.0,p_mean_all,0.08,over,1,0.08669325875588996
798,0.49874686716791977,0.15013359800639628,0.07723499911809312,0.22199799813689247,119.80661120910423,96.26942355889724,0.1511564725553551,0.3234405047946918,0.009405057683376213,0.6115288220551378,3.333957301875652,-23.759367810680033,1.2995165280227605,0.007118165296262058,1.0,p_lgb_poisson,0.1,over,1,0.08658500909864546
1599,0.5628517823639775,0.10285337004755044,0.06270229320211093,0.14291158402912482,164.46253870603314,-13.519074421513446,0.11964068141545033,0.209528871370545,0.006669339386547397,0.5791119449656035,4.155682871647974,-20.920947170461787,1.2352826018684309,0.004374227168396287,1.0,p_cat_clf,0.05,over,1,0.08595280549034617
1258,0.5635930047694754,0.10759222105764966,0.06736475884690853,0.1477373871754807,135.35101409052328,-8.569952305246423,0.10631625160490939,0.18045855860976215,0.005216511049728874,0.595389507154213,4.261364377863273,-17.606967020193707,1.246541009272356,0.004188760483336685,1.0,p_cat_poisson,0.05,over,3,0.08581816562367241
1006,0.5656063618290258,0.11995104374583376,0.07109273583912154,0.16697613714413836,120.67075000830877,1.084493041749503,0.1287140160009571,0.22790678981983495,0.005648981082750687,0.6003976143141153,4.042772833205915,-12.440401689095907,1.276134439378281,0.0054678058705719445,1.0,p_mean_count,0.08,over,3,0.0850753208838714
