,0
p_innings_pitched_max_roll10,0.000735899510529468
p_days_since_season_start,0.0007353669475770213
p_k9_career,0.0007345644632850866
p_bf_per_ip_roll5,0.000732219920541549
opp_lineup_left_batters,0.000728399779610128
league_k_rate_roll3,0.0007149932659952735
p_innings_pitched_roll3,0.0007054352730632991
p_strikeouts_std_roll10,0.0007014985746001712
sc_swinging_strike_rate_roll20,0.0006941920494001213
p_low_pitch_rate_under80_career_prior,0.0006917478211493356
p_strike_rate_roll20,0.0006904468662801716
venue_walks_roll3,0.0006765442020635429
umpire_hits_allowed_roll10,0.0006756553224520394
opp_pitcher_hits_allowed_roll5,0.0006703785634053059
p_k_roll5_vs_season,0.0006682233761872729
p_low_pitch_rate_under80_roll20,0.0006682205344660104
sc_statcast_pitches_avg_prior,0.0006677565353701257
p_bf_per_ip_roll3,0.0006664174605488674
opp_batting_pa_roll5,0.0006661556477568219
opp_lineup_weighted_bb_rate_vs_starter_hand_prior,0.0006654995630956
p_batters_faced_std_roll20,0.000660445425591669
p_bf_per_ip_roll10,0.0006578569649198549
p_pitches_min_roll20,0.0006526548810109888
sc_slider_pct_avg_prior,0.0006484835664938734
p_strike_rate_roll3,0.000646591180077726
opp_batting_bb_rate_roll10,0.0006433062061626864
p_short_start_rate_under5ip_career_prior,0.0006424091910353622
umpire_walks_roll10,0.0006393003418277522
opp_batting_runs_roll3,0.0006381242306787837
p_strikes_std_roll5,0.0006366536110920948
p_contact_rate_roll10,0.0006362018153572179
sc_breaking_pct_roll5,0.0006359631989389077
p_fip_no_hr_career,0.0006349618498713805
opp_batting_hits_roll20,0.0006271503751561325
p_pitches_roll3,0.000624787314494929
sc_max_release_speed_roll20,0.0006144311219129685
opp_lineup_confirmed_starters,0.0006128466822955826
p_games_prior,0.0006096428546014727
opp_batting_bb_rate_prior,0.0006092000680368841
p_bb_per_ip_career_prior,0.0006078893512046334
p_batters_faced_roll10,0.0006043727723761701
p_contact_rate_roll3,0.0006040923998156144
p_k_minus_bb_roll10,0.0006017521888343413
p_pitches_max_roll10,0.0005961819210845542
p_deep_start_rate_6ip_career_prior,0.0005960499530524104
p_innings_pitched_min_roll20,0.0005954936018181207
sc_fastball_pct_roll5,0.000593188383191801
sc_called_strike_rate_roll3,0.0005910875727067612
sc_fastball_pct_avg_prior,0.0005901885924263064
opp_lineup_weighted_bb_rate_prior,0.0005875130854507272
opp_lineup_bb_rate_prior,0.0005870952854397096
sc_statcast_pitches_roll3,0.0005856419123132054
sc_swinging_strike_rate_roll5,0.0005837915880229378
catcher_csr_excess_prior,0.0005824608319336482
sc_zone_minus_swstr_roll5,0.0005811252130447143
sc_statcast_pitches_roll5,0.0005751901521071927
umpire_strikeouts_roll20,0.000567226340113918
p_strikes_std_roll10,0.0005653550305063533
p_hits_per_bf_roll10,0.0005620909401288931
month,0.0005513982907586401
opp_batting_hits_avg_prior,0.000547692841556257
opp_pitcher_walks_avg_prior,0.0005446138505306253
p_pitches_career_avg_prior,0.0005376262644959307
p_strike_rate_career_prior,0.0005370489196682419
sc_swstr_slope_roll5,0.0005364784983646121
umpire_walks_roll5,0.000536340897896427
sc_called_strike_rate_roll5,0.0005351195095988573
sc_zone_rate_avg_prior,0.0005305811704113781
opp_lineup_same_hand_batters,0.0005303847913998847
p_high_pitch_rate_90_roll5,0.0005290700627923789
p_k_minus_bb_roll3,0.0005258739494532227
sc_zone_rate_roll20,0.0005238324164033651
opp_lineup_k_rate_roll14,0.0005183291048598424
p_bb_rate_roll3,0.0005173544503288514
