fetched_at,event_id,commence_time,home_team,away_team,bookmaker,bookmaker_title,bookmaker_last_update,market,api_market,player_name,line,over_odds,under_odds,snapshot_type,requested_snapshot,historical_snapshot,game_date,pitcher_id,pitcher_name,team,opponent
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,fanduel,FanDuel,2026-06-19T18:15:20Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-118,-104,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,fanduel,FanDuel,2026-06-19T18:15:20Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-125,-106,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,fanatics,Fanatics,2026-06-19T18:15:08Z,hits_allowed,pitcher_hits_allowed,Kevin Gausman,4.5,-155,105,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,fanatics,Fanatics,2026-06-19T18:15:08Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-120,-110,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betrivers,BetRivers,2026-06-19T18:15:32Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-118,-113,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betrivers,BetRivers,2026-06-19T18:15:32Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-114,-117,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,draftkings,DraftKings,2026-06-19T18:15:21Z,hits_allowed,pitcher_hits_allowed,Ben Brown,4.5,-127,-104,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,draftkings,DraftKings,2026-06-19T18:15:21Z,hits_allowed,pitcher_hits_allowed,Kevin Gausman,4.5,-155,117,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,draftkings,DraftKings,2026-06-19T18:15:21Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-143,112,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,draftkings,DraftKings,2026-06-19T18:15:21Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-127,100,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
